title,website,industry,company_size,headquarters,founded,specialties
Airbus Aircraft,http://www.airbus.com,Aviation and Aerospace Component Manufacturing,10K+ employees,,aircraft manufacturing,aircraft manufacturing
Gauss & Neumann,http://gauss-neumann.com,Advertising Services,11-50 employees,,SEM and Ad Tech,SEM and Ad Tech
MCA España,http://mca-groupe.com,Information Technology & Services,1K-5K employees,,"Automovilístico, Telecomunicaciones, Bancario, Industrial, and Energético","Automovilístico, Telecomunicaciones, Bancario, Industrial, and Energético"
TransPerfect,http://www.transperfect.com,Translation and Localization,5K-10K employees,,"Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services","Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services"
Airbus Defence and Space,http://www.airbus.com,Defense and Space Manufacturing,10K+ employees,,"Border security, Cyber security, Defence systems, Earth observation satellites, Eurofighter Typhoon, Military aircraft, Orbital systems, Telecommunication satellites, Satellite launchers, Secure communications, Unmanned aircraft (UAS/UAV), Space, and satellites","Border security, Cyber security, Defence systems, Earth observation satellites, Eurofighter Typhoon, Military aircraft, Orbital systems, Telecommunication satellites, Satellite launchers, Secure communications, Unmanned aircraft (UAS/UAV), Space, and satellites"
Viena,http://www.viena.es,Restaurants,1K-5K employees,,"1,238 associated members
                  
                
                
                          
    
    




    LinkedIn members who’ve listed Viena as their current workplace on their profile.",
Schreiber Foods,http://www.schreiberfoods.com,Food and Beverage Manufacturing,10K+ employees,,"food, cheese, dairy, yogurt, agriculture, cream cheese, and beverages","food, cheese, dairy, yogurt, agriculture, cream cheese, and beverages"
RavenPack,https://www.ravenpack.com,Financial Services,51-200 employees,,"sentiment, news analysis, news analytics, news sentiment, automated news analysis, natural language processing, named entity recognition, big data, data mining, machine-readable news, financial research, natural language processing, event detection, machine learning, and artificial intelligence","sentiment, news analysis, news analytics, news sentiment, automated news analysis, natural language processing, named entity recognition, big data, data mining, machine-readable news, financial research, natural language processing, event detection, machine learning, and artificial intelligence"
Grifols,https://linktr.ee/Grifols,Pharmaceutical Manufacturing,10K+ employees,,"Plasmapheresis, Plasma derived therapies, Diagnostics, Intravenous therapies, Clinical nutrition, Automate drug compounding , Drug inventory control, and Healthcare","Plasmapheresis, Plasma derived therapies, Diagnostics, Intravenous therapies, Clinical nutrition, Automate drug compounding , Drug inventory control, and Healthcare"
Vanderlande,http://www.vanderlande.com,Automation Machinery Manufacturing,5K-10K employees,,"project management, solution provider, own product development, software development, Baggage handling systems, Warehouse automation, parcel, logistic process automation, Logistics & supply chain, and data solutions","project management, solution provider, own product development, software development, Baggage handling systems, Warehouse automation, parcel, logistic process automation, Logistics & supply chain, and data solutions"
PASSNFLY,http://www.passnfly.com,Aviation and Aerospace Component Manufacturing,51-200 employees,,"Automated flight Check-in, Seat and cabin class Upgrades, Boarding Pass, Ancillary Service Distribution, Travel Distribution System, Airport Operating Databases, and Direct Departure Control System","Automated flight Check-in, Seat and cabin class Upgrades, Boarding Pass, Ancillary Service Distribution, Travel Distribution System, Airport Operating Databases, and Direct Departure Control System"
Ecolab,http://www.ecolab.com,Chemical Manufacturing,10K+ employees,,"Safe Food, Clean Water, Abundant Energy, and Healthy Environments","Safe Food, Clean Water, Abundant Energy, and Healthy Environments"
Airbus Aircraft,http://www.airbus.com,Aviation and Aerospace Component Manufacturing,10K+ employees,,aircraft manufacturing,aircraft manufacturing
Straumann Group,http://www.straumann-group.com,Medical Equipment Manufacturing,5K-10K employees,,"medical device, dental implants, esthetic dentistry, tooth restoration, biomaterials, prosthetics, orthodontics, preventive dentistry, and digital dentistry","medical device, dental implants, esthetic dentistry, tooth restoration, biomaterials, prosthetics, orthodontics, preventive dentistry, and digital dentistry"
Airbus Aircraft,http://www.airbus.com,Aviation and Aerospace Component Manufacturing,10K+ employees,,aircraft manufacturing,aircraft manufacturing
TransPerfect,http://www.transperfect.com,Translation and Localization,5K-10K employees,,"Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services","Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services"
Glovo,https://about.glovoapp.com/,Consumer Services,1K-5K employees,,"Information Technology, Logistics, Q-Commerce, Tech, and Apps","Information Technology, Logistics, Q-Commerce, Tech, and Apps"
Siemens Gamesa,https://www.siemensgamesa.com,Renewable Energy Semiconductor Manufacturing,10K+ employees,,"Wind Turbine Generators, Offshore Wind Power, Onshore Wind Power, Renewable Energy, Energy Storage Solutions, Hybrid Energy Solutions, Wind Turbine Operation and Maintenance, Wind Power Service, Wind Energy, Wind Power, Wind Power Digitalization, Wind Digital Solutions, Wind Power Diagnostics, Heath Storage, and Wind Turbine Engineering","Wind Turbine Generators, Offshore Wind Power, Onshore Wind Power, Renewable Energy, Energy Storage Solutions, Hybrid Energy Solutions, Wind Turbine Operation and Maintenance, Wind Power Service, Wind Energy, Wind Power, Wind Power Digitalization, Wind Digital Solutions, Wind Power Diagnostics, Heath Storage, and Wind Turbine Engineering"
Freudenberg Home and Cleaning Solutions,https://www.freudenberg.com/careers/prospects/freudenberg-home-and-cleaning-solutions,"Appliances, Electrical, and Electronics Manufacturing",1K-5K employees,,"Cleaning, FMCG , Consumer , Household products, Professional Cleaning, Marketing, Consumer Brand, Cleanroom Cleaning, Building Cleaning, HoReCa, and Retail","Cleaning, FMCG , Consumer , Household products, Professional Cleaning, Marketing, Consumer Brand, Cleanroom Cleaning, Building Cleaning, HoReCa, and Retail"
Teladoc Health,http://www.teladochealth.com,Hospitals and Health Care,5K-10K employees,,"telemedicine, physician cross-coverage, online doctor consultation, electronic medical records, interactive health tools, telehealth, healthcare, employee benefits, HR benefits, healthcare benefits, 24/7 access to a board certified doctor, Mental Health, Primary Care, Chronic Care, and Virtual Care","telemedicine, physician cross-coverage, online doctor consultation, electronic medical records, interactive health tools, telehealth, healthcare, employee benefits, HR benefits, healthcare benefits, 24/7 access to a board certified doctor, Mental Health, Primary Care, Chronic Care, and Virtual Care"
Havas Media Network España,https://havasmedianetwork.com/es/,Advertising Services,501-1K employees,,"70 associated members
                  
                
                
                          
    
    




    LinkedIn members who’ve listed Havas Media Network España  as their current workplace on their profile.",
Scopely,http://www.scopely.com,Entertainment Providers,1K-5K employees,,"Mobile Games, Video Games, Interactive Entertainment, Mobile Entertainment, Game Development, Free-to-Play Games, Games Publisher, Game Design, Technology, Platform, Data, Social Apps, Social Gaming, Game Monetization, User Experience, Games Business, Engineering, App Development, iOS and Android, Entrepreneurship, Publishing Platform, Machine Learning, Personalized Experiences, Live Operations, In-App Purchases, AI, Console, Games as a Service, Games as a Platform, Software as a Service (SaaS), and Blockchain","Mobile Games, Video Games, Interactive Entertainment, Mobile Entertainment, Game Development, Free-to-Play Games, Games Publisher, Game Design, Technology, Platform, Data, Social Apps, Social Gaming, Game Monetization, User Experience, Games Business, Engineering, App Development, iOS and Android, Entrepreneurship, Publishing Platform, Machine Learning, Personalized Experiences, Live Operations, In-App Purchases, AI, Console, Games as a Service, Games as a Platform, Software as a Service (SaaS), and Blockchain"
KPMG España,https://kpmg.com/es/es.html,Accounting,5K-10K employees,,"Auditoría, Fiscal, Legal, Advisory, Abogados, Asesoramiento Financiero y de Negocio, Servicios profesionales, Management Consulting, Risk Consulting, and Transactions & Restructuring","Auditoría, Fiscal, Legal, Advisory, Abogados, Asesoramiento Financiero y de Negocio, Servicios profesionales, Management Consulting, Risk Consulting, and Transactions & Restructuring"
TransPerfect,http://www.transperfect.com,Translation and Localization,5K-10K employees,,"Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services","Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services"
Scopely,http://www.scopely.com,Entertainment Providers,1K-5K employees,,"Mobile Games, Video Games, Interactive Entertainment, Mobile Entertainment, Game Development, Free-to-Play Games, Games Publisher, Game Design, Technology, Platform, Data, Social Apps, Social Gaming, Game Monetization, User Experience, Games Business, Engineering, App Development, iOS and Android, Entrepreneurship, Publishing Platform, Machine Learning, Personalized Experiences, Live Operations, In-App Purchases, AI, Console, Games as a Service, Games as a Platform, Software as a Service (SaaS), and Blockchain","Mobile Games, Video Games, Interactive Entertainment, Mobile Entertainment, Game Development, Free-to-Play Games, Games Publisher, Game Design, Technology, Platform, Data, Social Apps, Social Gaming, Game Monetization, User Experience, Games Business, Engineering, App Development, iOS and Android, Entrepreneurship, Publishing Platform, Machine Learning, Personalized Experiences, Live Operations, In-App Purchases, AI, Console, Games as a Service, Games as a Platform, Software as a Service (SaaS), and Blockchain"
Ayming,https://bit.ly/3ExhqMk,Business Consulting and Services,1K-5K employees,,"Business Performance Consulting, Finance & Innovation Performance, HR Performance, R&D Tax credit, Funds, and Grants","Business Performance Consulting, Finance & Innovation Performance, HR Performance, R&D Tax credit, Funds, and Grants"
Revolut,https://www.revolut.com,Financial Services,5K-10K employees,,"Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange","Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange"
Airbus Aircraft,http://www.airbus.com,Aviation and Aerospace Component Manufacturing,10K+ employees,,aircraft manufacturing,aircraft manufacturing
deVere Group,http://www.deVere-group.com,Financial Services,1K-5K employees,,"Savings Plans, Pension & Retirement Planning, Lump Sum and Offshore Investment, QROPS, QNUPS, EURBS, Life Insurance, Wills, Foreign Exchange, Mortgages, International Healthcare, Fund Platform, and Online Trading","Savings Plans, Pension & Retirement Planning, Lump Sum and Offshore Investment, QROPS, QNUPS, EURBS, Life Insurance, Wills, Foreign Exchange, Mortgages, International Healthcare, Fund Platform, and Online Trading"
Minor Hotels,http://www.minorhotels.com,Hospitality,10K+ employees,,"22,603 associated members
                  
                
                
                          
    
    




    LinkedIn members who’ve listed Minor Hotels or its subsidiaries (Tivoli Hotels & Resorts, Avani Hotels and Resorts, and 6 other companies) as their current workplace on their profile.",
TransPerfect,http://www.transperfect.com,Translation and Localization,5K-10K employees,,"Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services","Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services"
Zurich Insurance,https://www.zurich.com/services/social-media,Insurance,10K+ employees,,"insurance, Life insurance, Casual and Property Insurance, and Investment Management","insurance, Life insurance, Casual and Property Insurance, and Investment Management"
Worldwide Clinical Trials,http://www.worldwide.com,Research Services,1K-5K employees,,"Neuroscience/Central Nervous System Clinical Research, Rare Disease Clinical Research, Oncology - Solid Tumors Clinical Research, General Medicine Clinical Research, Cardiovascular and Metabolic Clinical Research, Rare Disease, Early Phase , and Clinical Trials","Neuroscience/Central Nervous System Clinical Research, Rare Disease Clinical Research, Oncology - Solid Tumors Clinical Research, General Medicine Clinical Research, Cardiovascular and Metabolic Clinical Research, Rare Disease, Early Phase , and Clinical Trials"
ARRK Engineering GmbH,https://engineering.arrk.com,Motor Vehicle Manufacturing,1K-5K employees,,"CAE, Chassis, Powertrain, Car Body, High Voltage Battery, Interieur, Exterieur, Product Development, Passive Safety, Optical Systems, Material, Electronics & Software, Acoustics, Composite, Thermal Management, Automotive+, Prototyping, Engineering, Digitalization, Software, Autonomous Driving, Mobility, and Sustainability Management","CAE, Chassis, Powertrain, Car Body, High Voltage Battery, Interieur, Exterieur, Product Development, Passive Safety, Optical Systems, Material, Electronics & Software, Acoustics, Composite, Thermal Management, Automotive+, Prototyping, Engineering, Digitalization, Software, Autonomous Driving, Mobility, and Sustainability Management"
Revolut,https://www.revolut.com,Financial Services,5K-10K employees,,"Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange","Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange"
Huxley,http://www.huxley.com,Staffing and Recruiting,201-500 employees,,"Banking, Engineering, IT, Supply Chain, Financial Services, Commercial, Accounting, Insurance, Automotive, Energy, Aerospace, Manufacturing, Utilities, Enterprise Applications, Project Management, Technical Support, Security, Logistics, Pharma, Corporate Banking, Capital Markets, Asset Management, Defence, Development and Testing, and Systems and Networks","Banking, Engineering, IT, Supply Chain, Financial Services, Commercial, Accounting, Insurance, Automotive, Energy, Aerospace, Manufacturing, Utilities, Enterprise Applications, Project Management, Technical Support, Security, Logistics, Pharma, Corporate Banking, Capital Markets, Asset Management, Defence, Development and Testing, and Systems and Networks"
PLD Space,http://www.pldspace.com,Aviation and Aerospace Component Manufacturing,201-500 employees,,"Elche, Alicante",
Glovo,https://about.glovoapp.com/,Consumer Services,1K-5K employees,,"Information Technology, Logistics, Q-Commerce, Tech, and Apps","Information Technology, Logistics, Q-Commerce, Tech, and Apps"
ARQUIMEA,http://www.arquimea.com,Space Research and Technology,201-500 employees,,"Aerospacial, Electrónica, Sistemas, Biotecnología, Fintech, Aeropuertos, Seguridad, Defensa, Salud, Espacio, Agroalimentario, Satélites, Actuadores, Mecanismos, Satellites, and Space","Aerospacial, Electrónica, Sistemas, Biotecnología, Fintech, Aeropuertos, Seguridad, Defensa, Salud, Espacio, Agroalimentario, Satélites, Actuadores, Mecanismos, Satellites, and Space"
TransPerfect,http://www.transperfect.com,Translation and Localization,5K-10K employees,,"Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services","Translation, Language Services, Translation, Multicultural Marketing, Recruiting & Staffing, Multimedia Services, Interpretation, Call Center Support, Software Localization and Testing, Training and e-Learning, and Legal Support Services"
Revolut,https://www.revolut.com,Financial Services,5K-10K employees,,"Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange","Mobile Banking, Card Payments, Money Remittance, and Foreign Exchange"
Worldwide Clinical Trials,http://www.worldwide.com,Research Services,1K-5K employees,,"Neuroscience/Central Nervous System Clinical Research, Rare Disease Clinical Research, Oncology - Solid Tumors Clinical Research, General Medicine Clinical Research, Cardiovascular and Metabolic Clinical Research, Rare Disease, Early Phase , and Clinical Trials","Neuroscience/Central Nervous System Clinical Research, Rare Disease Clinical Research, Oncology - Solid Tumors Clinical Research, General Medicine Clinical Research, Cardiovascular and Metabolic Clinical Research, Rare Disease, Early Phase , and Clinical Trials"
